,CASENUM,VEH_NO,MDRDSTRDNAME
0,201901174219,1,Not Distracted
1,201901176655,1,Not Reported
2,201901176655,2,Not Reported
3,201901176667,1,"Inattention (Inattentive), Details Unknown"
4,201901176667,2,Not Reported
5,201901176694,1,Not Distracted
6,201901176702,1,Reported as Unknown if Distracted
7,201901176702,2,Reported as Unknown if Distracted
8,201901176716,1,"Inattention (Inattentive), Details Unknown"
9,201901176716,2,Not Distracted
10,201901176733,1,Not Reported
11,201901180044,1,Not Reported
12,201901180044,2,Not Reported
13,201901180155,1,Not Distracted
14,201901180155,2,Not Distracted
15,201901180165,1,"Inattention (Inattentive), Details Unknown"
16,201901180165,2,Not Distracted
17,201901180224,1,Not Distracted
18,201901180224,2,Not Distracted
19,201901180254,1,Reported as Unknown if Distracted
20,201901180300,1,Reported as Unknown if Distracted
21,201901180300,2,Not Distracted
22,201901180324,1,Not Distracted
23,201901180324,2,Not Distracted
24,201901180372,1,Reported as Unknown if Distracted
25,201901180392,1,Reported as Unknown if Distracted
26,201901180392,2,Not Distracted
27,201901181432,1,Not Reported
28,201901181432,2,Not Reported
29,201901181435,1,Not Reported
30,201901181435,2,Not Reported
31,201901181437,1,Not Reported
32,201901181437,2,Not Reported
33,201901181504,1,Not Distracted
34,201901181508,1,Not Distracted
35,201901181508,2,Not Distracted
36,201901181754,1,Not Distracted
37,201901181754,2,Not Distracted
38,201901181794,1,Not Distracted
39,201901181794,2,Not Distracted
40,201901181863,1,Not Distracted
41,201901181863,2,Not Distracted
42,201901181874,1,Reported as Unknown if Distracted
43,201901181874,2,Not Distracted
44,201901181893,1,Not Distracted
45,201901181982,1,Reported as Unknown if Distracted
46,201901181982,2,Not Distracted
47,201901181986,1,Not Distracted
48,201901182000,1,Not Distracted
49,201901182018,1,Not Distracted
50,201901182018,2,Not Distracted
51,201901182019,1,"Distracted by Outside Person, Object or Event"
52,201901182019,2,Not Distracted
53,201901182028,1,Not Distracted
54,201901182028,2,Not Distracted
55,201901182029,1,"Inattention (Inattentive), Details Unknown"
56,201901182029,2,Not Distracted
57,201901182029,3,Not Distracted
58,201901182029,4,Not Distracted
59,201901182038,1,Not Reported
60,201901182039,1,Not Distracted
61,201901182039,2,Not Distracted
62,201901182039,3,Not Distracted
63,201901182089,1,Not Distracted
64,201901182089,2,Not Distracted
65,201901182093,1,Not Distracted
66,201901182093,2,Not Distracted
67,201901182102,1,"Inattention (Inattentive), Details Unknown"
68,201901182102,2,Not Distracted
69,201901182121,1,Not Distracted
70,201901182121,2,Not Distracted
71,201901182133,1,Not Distracted
72,201901182133,2,Not Distracted
73,201901182187,1,Not Distracted
74,201901182187,2,Not Distracted
75,201901182206,1,Reported as Unknown if Distracted
76,201901182206,2,Not Distracted
77,201901182257,1,Reported as Unknown if Distracted
78,201901182259,1,"Inattention (Inattentive), Details Unknown"
79,201901182259,2,No Driver Present/Unknown if Driver present
80,201901183185,1,Not Reported
81,201901183189,1,Not Distracted
82,201901183206,1,Other Distraction [Specify:]
83,201901183206,2,Not Distracted
84,201901183207,1,Not Distracted
85,201901183207,2,Not Distracted
86,201901183211,1,Not Distracted
87,201901183211,2,Not Distracted
88,201901183276,1,"Inattention (Inattentive), Details Unknown"
89,201901183276,2,Not Distracted
90,201901183277,1,"Inattention (Inattentive), Details Unknown"
91,201901183277,2,Not Distracted
92,201901183277,3,Not Distracted
93,201901183399,1,Not Distracted
94,201901183399,2,Not Distracted
95,201901183458,1,Not Reported
96,201901183458,2,Not Distracted
97,201901183458,3,Not Distracted
98,201901183484,1,Not Distracted
99,201901183495,1,Not Distracted
100,201901183495,2,Not Distracted
101,201901183495,3,Not Distracted
102,201901183507,1,Not Distracted
103,201901183527,1,"Inattention (Inattentive), Details Unknown"
104,201901183527,2,Not Distracted
105,201901183533,1,Reported as Unknown if Distracted
106,201901183533,2,Not Distracted
107,201901183533,3,Not Distracted
108,201901183563,1,Not Distracted
109,201901183573,1,"Inattention (Inattentive), Details Unknown"
110,201901183573,2,Not Distracted
111,201901183578,1,Reported as Unknown if Distracted
112,201901183578,2,Not Distracted
113,201901183582,1,Reported as Unknown if Distracted
114,201901183582,2,Not Distracted
115,201901183591,1,Not Distracted
116,201901183591,2,Not Distracted
117,201901183629,1,Not Distracted
118,201901183629,2,Not Distracted
119,201901183654,1,Reported as Unknown if Distracted
120,201901183654,2,Not Distracted
121,201901183664,1,Reported as Unknown if Distracted
122,201901183676,1,Not Distracted
123,201901183676,2,Not Distracted
124,201901183734,1,Reported as Unknown if Distracted
125,201901183734,2,Not Distracted
126,201901183753,1,"Distracted by Outside Person, Object or Event"
127,201901184137,1,Not Reported
128,201901184162,1,Not Reported
129,201901184162,2,Not Reported
130,201901184167,1,Not Reported
131,201901184169,1,Not Reported
132,201901184169,2,Not Reported
133,201901184174,1,Not Reported
134,201901184192,1,Not Reported
135,201901184192,2,Not Reported
136,201901184218,1,Not Reported
137,201901184218,2,Not Reported
138,201901184220,1,By Other Occupant(s)
139,201901184220,2,Not Reported
140,201901184221,1,Not Reported
141,201901184221,2,Not Reported
142,201901184246,1,Not Reported
143,201901184246,2,Not Reported
144,201901184251,1,Not Reported
145,201901184251,2,Not Reported
146,201901184278,1,Not Reported
147,201901184278,2,Not Reported
148,201901184297,1,Not Reported
149,201901184297,2,Not Reported
150,201901184301,1,Not Reported
151,201901184301,2,Not Reported
152,201901184303,1,Not Reported
153,201901184305,1,Not Reported
154,201901184346,1,Not Reported
155,201901184346,2,Not Reported
156,201901184348,1,Not Reported
157,201901184348,2,Not Reported
158,201901184368,1,Not Reported
159,201901184374,1,Not Reported
160,201901184379,1,Not Reported
161,201901184379,2,Not Reported
162,201901184380,1,Not Reported
163,201901184380,2,Not Reported
164,201901184380,3,Not Reported
165,201901184385,1,Not Reported
166,201901184385,2,Not Reported
167,201901184391,1,"Distracted by Outside Person, Object or Event"
168,201901184391,2,Not Reported
169,201901184392,1,"Distracted by Outside Person, Object or Event"
170,201901184398,1,Not Reported
171,201901184398,2,Not Reported
172,201901184412,1,Not Reported
173,201901184416,1,Not Reported
174,201901184416,2,Not Reported
175,201901184424,1,While Using or Reaching for Device/Object Brought into Vehicle
176,201901184428,1,Not Reported
177,201901184429,1,Not Reported
